schema_name,table_name,constraint_name,constraint_type,definition
public,leads,leads_organization_contact_fk,FOREIGN KEY,"FOREIGN KEY (organization_id, contact_id) REFERENCES contacts(organization_id, id) ON DELETE RESTRICT"
public,leads,leads_organization_pipeline_fk,FOREIGN KEY,"FOREIGN KEY (organization_id, pipeline_id) REFERENCES pipelines(organization_id, id) ON DELETE RESTRICT"
public,leads,leads_organization_pipeline_stage_fk,FOREIGN KEY,"FOREIGN KEY (organization_id, pipeline_id, stage_id) REFERENCES pipeline_stages(organization_id, pipeline_id, id) ON DELETE RESTRICT"
public,leads,leads_organization_source_fk,FOREIGN KEY,"FOREIGN KEY (organization_id, source_id) REFERENCES lead_sources(organization_id, id) ON DELETE RESTRICT"
public,leads,leads_updated_by_fkey,FOREIGN KEY,FOREIGN KEY (updated_by) REFERENCES profiles(id) ON DELETE SET NULL
public,leads,leads_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,leads,leads_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,messages,messages_direction_check,CHECK,"CHECK (direction = ANY (ARRAY['inbound'::text, 'outbound'::text, 'internal'::text]))"
public,messages,messages_message_type_check,CHECK,"CHECK (message_type = ANY (ARRAY['text'::text, 'image'::text, 'audio'::text, 'video'::text, 'document'::text, 'template'::text, 'location'::text, 'contact'::text, 'interactive'::text, 'internal_note'::text, 'system'::text]))"
public,messages,messages_metadata_check,CHECK,CHECK (jsonb_typeof(metadata) = 'object'::text)
public,messages,messages_status_check,CHECK,"CHECK (status = ANY (ARRAY['received'::text, 'queued'::text, 'sent'::text, 'delivered'::text, 'read'::text, 'failed'::text]))"
public,messages,messages_conversation_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, conversation_id) REFERENCES conversations(organization_id, id) ON DELETE CASCADE"
public,messages,messages_reply_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, reply_to_message_id) REFERENCES messages(organization_id, id) ON DELETE SET NULL"
public,messages,messages_sender_member,FOREIGN KEY,"FOREIGN KEY (organization_id, sender_user_id) REFERENCES organization_members(organization_id, user_id) ON DELETE SET NULL"
public,messages,messages_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,messages,messages_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
public,notifications,notifications_payload_check,CHECK,CHECK (jsonb_typeof(payload) = 'object'::text)
public,notifications,notifications_title_check,CHECK,CHECK (char_length(TRIM(BOTH FROM title)) >= 2 AND char_length(TRIM(BOTH FROM title)) <= 180)
public,notifications,notifications_type_check,CHECK,CHECK (type ~ '^[a-z0-9_.]+$'::text)
public,notifications,notifications_member_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, user_id) REFERENCES organization_members(organization_id, user_id) ON DELETE CASCADE"
public,notifications,notifications_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,organization_branding,organization_branding_accent_color_check,CHECK,CHECK (accent_color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,organization_branding,organization_branding_background_color_check,CHECK,CHECK (background_color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,organization_branding,organization_branding_primary_color_check,CHECK,CHECK (primary_color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,organization_branding,organization_branding_secondary_color_check,CHECK,CHECK (secondary_color ~ '^#[0-9A-Fa-f]{6}$'::text)
public,organization_branding,organization_branding_organization_id_fkey,FOREIGN KEY,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
public,organization_branding,organization_branding_pkey,PRIMARY KEY,PRIMARY KEY (organization_id)
public,organization_members,organization_members_status_check,CHECK,"CHECK (status = ANY (ARRAY['invited'::text, 'active'::text, 'disabled'::text]))"
public,organization_members,organization_members_organization_id_fkey,FOREIGN KEY,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
public,organization_members,organization_members_role_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, role_id) REFERENCES roles(organization_id, id) ON DELETE RESTRICT"
public,organization_members,organization_members_user_id_fkey,FOREIGN KEY,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
public,organization_members,organization_members_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,organization_members,organization_members_unique,UNIQUE,"UNIQUE (organization_id, user_id)"
public,organizations,organizations_name_check,CHECK,CHECK (char_length(TRIM(BOTH FROM name)) >= 2 AND char_length(TRIM(BOTH FROM name)) <= 120)
public,organizations,organizations_slug_check,CHECK,CHECK (slug ~ '^[a-z0-9]+(?:-[a-z0-9]+)*$'::text)
public,organizations,organizations_status_check,CHECK,"CHECK (status = ANY (ARRAY['active'::text, 'inactive'::text, 'suspended'::text]))"
public,organizations,organizations_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL
public,organizations,organizations_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,organizations,organizations_slug_key,UNIQUE,UNIQUE (slug)
public,permissions,permissions_code_check,CHECK,CHECK (code ~ '^[a-z0-9_.]+$'::text)
public,permissions,permissions_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,permissions,permissions_code_key,UNIQUE,UNIQUE (code)
public,pipeline_stage_user_access,pipeline_stage_user_access_access_level_check,CHECK,"CHECK (access_level = ANY (ARRAY['view'::text, 'operate'::text]))"
public,pipeline_stage_user_access,pipeline_stage_user_access_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
